"emp_id","case_id","status","status_reason","adherence_date"
67001630,916456,"On-HOLD","Pending Clarification from the Underwriter","2026-03-31"
67001630,970318,"Cancelled","Client Request / No longer needed","2026-03-23"
67001630,969754,"Agent Error","Incorrect benefit code input","2026-03-24"
67001630,888204,"Agent Error","Incorrect benefit code input","2026-03-26"
67001630,910709,"On-HOLD","Pending Clarification from the Underwriter","2026-03-12"
67001630,879855,"Agent Error","Incorrect benefit code input","2026-03-26"
67001245,874240,"Missed SLA","Agent delay","2026-03-18"
67001245,852293,"Cancelled","Client Request / No longer needed","2026-03-13"
67001245,864221,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001245,860507,"On-HOLD","Pending Clarification from the Underwriter","2026-03-31"
67001245,991644,"Cancelled","Client Request / No longer needed","2026-03-25"
67001245,957275,"On-HOLD","Pending Clarification from the Underwriter","2026-03-24"
67001245,934265,"Cancelled","Client Request / No longer needed","2026-03-18"
67001245,888034,"Missed SLA","Agent delay","2026-03-19"
67001245,884073,"On-HOLD","Pending Clarification from the Underwriter","2026-03-10"
67001245,926540,"On-HOLD","Pending Clarification from the Underwriter","2026-03-13"
67001245,891552,"Missed SLA","Agent delay","2026-03-12"
67001245,979812,"Agent Error","Incorrect benefit code input","2026-03-02"
67001245,846836,"Missed SLA","Underwriter Delay","2026-03-03"
67001245,981744,"Missed SLA","Agent delay","2026-03-06"
67001798,860712,"Missed SLA","Agent delay","2026-03-31"
67001798,894898,"Agent Error","Incorrect address input","2026-03-30"
67001798,833823,"Missed SLA","Agent delay","2026-03-23"
67001798,814000,"Agent Error","Incorrect benefit code input","2026-03-25"
67001798,931461,"Missed SLA","Underwriter Delay","2026-03-24"
67001798,857410,"Cancelled","Client Request / No longer needed","2026-03-17"
67001798,948690,"Missed SLA","Agent delay","2026-03-10"
67001798,985394,"On-HOLD","Pending Clarification from the Underwriter","2026-03-12"
67001798,956482,"Agent Error","Incorrect benefit code input","2026-03-24"
67001798,954791,"Missed SLA","Agent delay","2026-03-23"
67001798,889020,"Missed SLA","Agent delay","2026-03-25"
67001798,819562,"Missed SLA","Agent delay","2026-03-24"
67001798,849125,"Cancelled","Client Request / No longer needed","2026-03-19"
67001798,982472,"Missed SLA","Underwriter Delay","2026-03-26"
67001798,887770,"On-HOLD","Pending Clarification from the Underwriter","2026-03-03"
67001144,993546,"Agent Error","Incorrect benefit code input","2026-03-13"
67001144,905189,"Cancelled","Client Request / No longer needed","2026-03-16"
67001144,934521,"On-HOLD","Pending Clarification from the Underwriter","2026-03-23"
67001144,942842,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001144,930139,"Cancelled","Client Request / No longer needed","2026-03-23"
67001144,932410,"Missed SLA","Underwriter Delay","2026-03-25"
67001144,845907,"Agent Error","Incorrect benefit code input","2026-03-12"
67001144,853561,"On-HOLD","Pending Clarification from the Underwriter","2026-03-23"
67001144,978152,"Cancelled","Client Request / No longer needed","2026-03-09"
67001144,862586,"Missed SLA","Agent delay","2026-03-19"
67001858,907859,"Cancelled","Client Request / No longer needed","2026-03-24"
67001858,907323,"On-HOLD","Pending Clarification from the Underwriter","2026-03-04"
67001858,953996,"Agent Error","Incorrect benefit code input","2026-03-31"
67001858,993021,"Missed SLA","Agent delay","2026-03-12"
67001858,956735,"On-HOLD","Pending Clarification from the Underwriter","2026-03-24"
67001858,921367,"Cancelled","Client Request / No longer needed","2026-03-17"
67001858,975953,"Cancelled","Client Request / No longer needed","2026-03-05"
67001858,894677,"Agent Error","Incorrect benefit code input","2026-03-10"
67001858,826875,"Missed SLA","Underwriter Delay","2026-03-19"
67001858,873250,"Cancelled","Client Request / No longer needed","2026-03-06"
67001858,821346,"Cancelled","Client Request / No longer needed","2026-03-23"
67001858,892587,"Cancelled","Client Request / No longer needed","2026-03-02"
67001404,861621,"Agent Error","Incorrect address input","2026-03-04"
67001404,910728,"Missed SLA","Underwriter Delay","2026-03-02"
67001404,966202,"Cancelled","Client Request / No longer needed","2026-03-23"
67001404,966701,"Missed SLA","Agent delay","2026-03-27"
67001404,861181,"Cancelled","Client Request / No longer needed","2026-03-26"
67001404,924161,"Agent Error","Incorrect benefit code input","2026-03-04"
67001404,849508,"Missed SLA","Agent delay","2026-03-30"
67001404,855242,"Agent Error","Incorrect address input","2026-03-10"
67001404,905237,"On-HOLD","Pending Clarification from the Underwriter","2026-03-11"
67001404,984082,"Agent Error","Incorrect benefit code input","2026-03-05"
67001404,900010,"Agent Error","Incorrect address input","2026-03-30"
67001404,846401,"On-HOLD","Pending Clarification from the Underwriter","2026-03-03"
67001404,942186,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001404,922378,"Agent Error","Incorrect address input","2026-03-12"
67001404,927548,"Cancelled","Client Request / No longer needed","2026-03-31"
67001179,962198,"Cancelled","Client Request / No longer needed","2026-03-17"
67001179,937686,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001179,907132,"On-HOLD","Pending Clarification from the Underwriter","2026-03-02"
67001179,970817,"Agent Error","Incorrect address input","2026-03-16"
67001179,977667,"Cancelled","Client Request / No longer needed","2026-03-27"
67001179,929430,"On-HOLD","Pending Clarification from the Underwriter","2026-03-27"
67001179,846109,"On-HOLD","Pending Clarification from the Underwriter","2026-03-24"
67001179,843374,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001179,968063,"Agent Error","Incorrect benefit code input","2026-03-26"
67001179,841397,"On-HOLD","Pending Clarification from the Underwriter","2026-03-11"
67001179,890779,"On-HOLD","Pending Clarification from the Underwriter","2026-03-24"
67001179,915415,"Missed SLA","Agent delay","2026-03-27"
67001179,976595,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001179,858686,"Cancelled","Client Request / No longer needed","2026-03-30"
67001769,848726,"On-HOLD","Pending Clarification from the Underwriter","2026-03-25"
67001769,952572,"Cancelled","Client Request / No longer needed","2026-03-13"
67001769,932912,"Cancelled","Client Request / No longer needed","2026-03-04"
67001769,874093,"Missed SLA","Underwriter Delay","2026-03-19"
67001769,893624,"Cancelled","Client Request / No longer needed","2026-03-09"
67001769,881143,"Agent Error","Incorrect address input","2026-03-06"
67001769,962923,"Missed SLA","Underwriter Delay","2026-03-27"
67001769,895523,"On-HOLD","Pending Clarification from the Underwriter","2026-03-13"
67001769,969985,"Agent Error","Incorrect address input","2026-03-25"
67001769,830504,"Cancelled","Client Request / No longer needed","2026-03-19"
67001769,874469,"Cancelled","Client Request / No longer needed","2026-03-18"
67001769,925229,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001769,871007,"On-HOLD","Pending Clarification from the Underwriter","2026-03-25"
67001994,975347,"Agent Error","Incorrect benefit code input","2026-03-10"
67001994,992229,"Agent Error","Incorrect address input","2026-03-18"
67001994,844188,"Missed SLA","Underwriter Delay","2026-03-02"
67001994,967896,"Cancelled","Client Request / No longer needed","2026-03-05"
67001994,910830,"On-HOLD","Pending Clarification from the Underwriter","2026-03-18"
67001994,966685,"Agent Error","Incorrect address input","2026-03-04"
67001994,849333,"Agent Error","Incorrect benefit code input","2026-03-03"
67001994,870258,"Cancelled","Client Request / No longer needed","2026-03-17"
67001994,965353,"Agent Error","Incorrect address input","2026-03-31"
67001936,932018,"Missed SLA","Underwriter Delay","2026-03-17"
67001936,824161,"Agent Error","Incorrect address input","2026-03-02"
67001936,958714,"Cancelled","Client Request / No longer needed","2026-03-02"
67001936,972458,"Cancelled","Client Request / No longer needed","2026-03-25"
67001936,925706,"Cancelled","Client Request / No longer needed","2026-03-24"
67001936,924215,"Missed SLA","Underwriter Delay","2026-03-16"
67001936,963079,"Agent Error","Incorrect benefit code input","2026-03-13"
67001936,870660,"Missed SLA","Agent delay","2026-03-23"
67001936,919683,"Missed SLA","Underwriter Delay","2026-03-16"
67001936,957089,"Agent Error","Incorrect benefit code input","2026-03-05"
67001717,869706,"Cancelled","Client Request / No longer needed","2026-03-24"
67001717,828128,"Agent Error","Incorrect benefit code input","2026-03-23"
67001717,818612,"Cancelled","Client Request / No longer needed","2026-03-27"
67001717,901821,"Agent Error","Incorrect benefit code input","2026-03-30"
67001717,969551,"Agent Error","Incorrect benefit code input","2026-03-09"
67001717,812748,"Agent Error","Incorrect benefit code input","2026-03-06"
67001717,823854,"Missed SLA","Agent delay","2026-03-27"
67001717,888502,"Missed SLA","Underwriter Delay","2026-03-25"
67001717,846863,"Missed SLA","Agent delay","2026-03-10"
67001717,910341,"Agent Error","Incorrect address input","2026-03-19"
67001717,978353,"Cancelled","Client Request / No longer needed","2026-03-30"
67001717,899793,"On-HOLD","Pending Clarification from the Underwriter","2026-03-16"
67001881,883789,"Agent Error","Incorrect benefit code input","2026-03-23"
67001881,981154,"On-HOLD","Pending Clarification from the Underwriter","2026-03-30"
67001881,916857,"Agent Error","Incorrect benefit code input","2026-03-11"
67001881,836736,"On-HOLD","Pending Clarification from the Underwriter","2026-03-04"
67001881,952138,"Missed SLA","Underwriter Delay","2026-03-26"
67001881,845374,"Cancelled","Client Request / No longer needed","2026-03-18"
67001881,923581,"On-HOLD","Pending Clarification from the Underwriter","2026-03-03"
67001881,934091,"Cancelled","Client Request / No longer needed","2026-03-10"
67001842,822189,"Missed SLA","Underwriter Delay","2026-03-31"
67001842,865033,"Agent Error","Incorrect benefit code input","2026-03-09"
67001842,937082,"Cancelled","Client Request / No longer needed","2026-03-03"
67001842,937940,"Cancelled","Client Request / No longer needed","2026-03-31"
67001842,810620,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001842,918351,"On-HOLD","Pending Clarification from the Underwriter","2026-03-03"
67001842,999092,"Agent Error","Incorrect address input","2026-03-23"
67001842,953109,"Agent Error","Incorrect address input","2026-03-31"
67001842,938420,"Agent Error","Incorrect benefit code input","2026-03-10"
67001538,965961,"Cancelled","Client Request / No longer needed","2026-03-24"
67001538,935141,"Cancelled","Client Request / No longer needed","2026-03-02"
67001538,872699,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001538,835346,"On-HOLD","Pending Clarification from the Underwriter","2026-03-31"
67001538,934799,"Missed SLA","Underwriter Delay","2026-03-25"
67001538,824773,"Agent Error","Incorrect address input","2026-03-10"
67001538,871492,"Missed SLA","Underwriter Delay","2026-03-25"
67001538,941240,"Agent Error","Incorrect benefit code input","2026-03-06"
67001392,931783,"Missed SLA","Underwriter Delay","2026-03-09"
67001392,960710,"On-HOLD","Pending Clarification from the Underwriter","2026-03-09"
67001392,877556,"On-HOLD","Pending Clarification from the Underwriter","2026-03-18"
67001392,836724,"On-HOLD","Pending Clarification from the Underwriter","2026-03-12"
67001392,952336,"Missed SLA","Agent delay","2026-03-19"
67001392,888252,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001392,944268,"On-HOLD","Pending Clarification from the Underwriter","2026-03-19"
67001392,930611,"Cancelled","Client Request / No longer needed","2026-03-04"
67001392,910552,"On-HOLD","Pending Clarification from the Underwriter","2026-03-18"
67001392,860454,"Agent Error","Incorrect address input","2026-03-13"
67001338,972702,"Agent Error","Incorrect address input","2026-03-09"
67001338,853296,"On-HOLD","Pending Clarification from the Underwriter","2026-03-17"
67001338,983216,"Cancelled","Client Request / No longer needed","2026-03-09"
67001338,987203,"Missed SLA","Agent delay","2026-03-12"
67001338,933191,"On-HOLD","Pending Clarification from the Underwriter","2026-03-23"
67001338,829793,"Cancelled","Client Request / No longer needed","2026-03-24"
67001338,873104,"Cancelled","Client Request / No longer needed","2026-03-19"
67001338,833736,"On-HOLD","Pending Clarification from the Underwriter","2026-03-13"
67001338,988021,"Agent Error","Incorrect benefit code input","2026-03-23"
67001338,938861,"Agent Error","Incorrect address input","2026-03-09"
67001338,898573,"Cancelled","Client Request / No longer needed","2026-03-16"
67001338,812148,"Cancelled","Client Request / No longer needed","2026-03-25"
67001783,830206,"Cancelled","Client Request / No longer needed","2026-03-24"
67001783,994540,"Missed SLA","Underwriter Delay","2026-03-23"
67001783,945340,"Cancelled","Client Request / No longer needed","2026-03-05"
67001783,867849,"On-HOLD","Pending Clarification from the Underwriter","2026-03-25"
67001783,963782,"On-HOLD","Pending Clarification from the Underwriter","2026-03-25"
67001783,924180,"Missed SLA","Agent delay","2026-03-12"
67001783,975661,"Missed SLA","Agent delay","2026-03-05"
67001783,897360,"Missed SLA","Underwriter Delay","2026-03-10"
67001783,847779,"Missed SLA","Agent delay","2026-03-11"
67001783,910703,"Agent Error","Incorrect benefit code input","2026-03-02"
67001783,834426,"Missed SLA","Underwriter Delay","2026-03-04"
67001783,963315,"Cancelled","Client Request / No longer needed","2026-03-23"
67001783,904490,"Missed SLA","Underwriter Delay","2026-03-31"
67001783,953721,"Cancelled","Client Request / No longer needed","2026-03-16"
67001979,998148,"Missed SLA","Agent delay","2026-03-19"
67001979,829699,"Cancelled","Client Request / No longer needed","2026-03-26"
67001979,913611,"Missed SLA","Agent delay","2026-03-09"
67001979,937569,"On-HOLD","Pending Clarification from the Underwriter","2026-03-02"
67001979,968173,"On-HOLD","Pending Clarification from the Underwriter","2026-03-17"
67001979,887531,"Agent Error","Incorrect benefit code input","2026-03-09"
67001979,833066,"Missed SLA","Agent delay","2026-03-17"
67001979,817928,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001979,997573,"Agent Error","Incorrect benefit code input","2026-03-27"
67001979,815966,"Cancelled","Client Request / No longer needed","2026-03-26"
67001979,943042,"Cancelled","Client Request / No longer needed","2026-03-10"
67001979,862253,"Missed SLA","Agent delay","2026-03-05"
67001297,992489,"On-HOLD","Pending Clarification from the Underwriter","2026-03-30"
67001297,828678,"Agent Error","Incorrect benefit code input","2026-03-12"
67001297,897709,"Missed SLA","Agent delay","2026-03-26"
67001297,960686,"Missed SLA","Agent delay","2026-03-27"
67001297,971129,"On-HOLD","Pending Clarification from the Underwriter","2026-03-10"
67001297,987984,"Cancelled","Client Request / No longer needed","2026-03-27"
67001297,951586,"Agent Error","Incorrect benefit code input","2026-03-13"
67001297,971937,"Agent Error","Incorrect benefit code input","2026-03-27"
67001297,903613,"Agent Error","Incorrect address input","2026-03-12"
67001297,840194,"Agent Error","Incorrect benefit code input","2026-03-26"
67001865,821092,"Agent Error","Incorrect address input","2026-03-06"
67001865,911622,"Missed SLA","Underwriter Delay","2026-03-05"
67001865,963006,"Agent Error","Incorrect benefit code input","2026-03-12"
67001865,941043,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001865,845492,"Agent Error","Incorrect benefit code input","2026-03-19"
67001865,905623,"Agent Error","Incorrect benefit code input","2026-03-09"
67001865,858101,"Cancelled","Client Request / No longer needed","2026-03-05"
67001865,958687,"Missed SLA","Underwriter Delay","2026-03-03"
67001865,976106,"On-HOLD","Pending Clarification from the Underwriter","2026-03-17"
67001865,937211,"Cancelled","Client Request / No longer needed","2026-03-09"
67001865,934717,"Agent Error","Incorrect address input","2026-03-31"
67001865,993076,"Agent Error","Incorrect address input","2026-03-31"
67001186,940396,"Missed SLA","Underwriter Delay","2026-03-05"
67001186,947894,"Missed SLA","Agent delay","2026-03-25"
67001186,962216,"On-HOLD","Pending Clarification from the Underwriter","2026-03-16"
67001186,938019,"Cancelled","Client Request / No longer needed","2026-03-12"
67001186,813829,"Missed SLA","Agent delay","2026-03-27"
67001186,814915,"On-HOLD","Pending Clarification from the Underwriter","2026-03-04"
67001186,919073,"Missed SLA","Agent delay","2026-03-13"
67001186,986533,"Agent Error","Incorrect benefit code input","2026-03-16"
67001457,966970,"Cancelled","Client Request / No longer needed","2026-03-09"
67001457,877139,"Cancelled","Client Request / No longer needed","2026-03-12"
67001457,978848,"On-HOLD","Pending Clarification from the Underwriter","2026-03-12"
67001457,855092,"Agent Error","Incorrect address input","2026-03-04"
67001457,906906,"Agent Error","Incorrect benefit code input","2026-03-02"
67001457,832257,"Missed SLA","Agent delay","2026-03-19"
67001457,886338,"Cancelled","Client Request / No longer needed","2026-03-12"
67001457,955288,"Cancelled","Client Request / No longer needed","2026-03-19"
67001457,868236,"Cancelled","Client Request / No longer needed","2026-03-02"
67001457,906327,"On-HOLD","Pending Clarification from the Underwriter","2026-03-03"
67001457,837926,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001457,907871,"Agent Error","Incorrect benefit code input","2026-03-11"
67001457,854299,"Cancelled","Client Request / No longer needed","2026-03-02"
67001457,909739,"Agent Error","Incorrect benefit code input","2026-03-13"
67001117,938645,"Missed SLA","Agent delay","2026-03-05"
67001117,937186,"Cancelled","Client Request / No longer needed","2026-03-05"
67001117,835482,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001117,985352,"On-HOLD","Pending Clarification from the Underwriter","2026-03-27"
67001117,824656,"On-HOLD","Pending Clarification from the Underwriter","2026-03-17"
67001117,941551,"Missed SLA","Underwriter Delay","2026-03-16"
67001117,880939,"Agent Error","Incorrect benefit code input","2026-03-23"
67001117,999705,"Agent Error","Incorrect benefit code input","2026-03-30"
67001117,934697,"On-HOLD","Pending Clarification from the Underwriter","2026-03-31"
67001117,879163,"Missed SLA","Agent delay","2026-03-31"
67001117,957277,"Agent Error","Incorrect address input","2026-03-30"
67001117,857992,"Missed SLA","Underwriter Delay","2026-03-03"
67001491,993371,"Agent Error","Incorrect benefit code input","2026-03-18"
67001491,907279,"On-HOLD","Pending Clarification from the Underwriter","2026-03-16"
67001491,848180,"Missed SLA","Agent delay","2026-03-30"
67001491,991712,"Missed SLA","Agent delay","2026-03-10"
67001491,956998,"Cancelled","Client Request / No longer needed","2026-03-30"
67001491,998862,"On-HOLD","Pending Clarification from the Underwriter","2026-03-23"
67001491,932385,"Cancelled","Client Request / No longer needed","2026-03-19"
67001491,821102,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001491,999611,"On-HOLD","Pending Clarification from the Underwriter","2026-03-17"
67001517,836827,"Cancelled","Client Request / No longer needed","2026-03-25"
67001517,874190,"Missed SLA","Underwriter Delay","2026-03-12"
67001517,948110,"Cancelled","Client Request / No longer needed","2026-03-18"
67001517,942187,"Agent Error","Incorrect benefit code input","2026-03-13"
67001517,859646,"Cancelled","Client Request / No longer needed","2026-03-17"
67001517,853325,"Agent Error","Incorrect address input","2026-03-03"
67001517,880819,"Cancelled","Client Request / No longer needed","2026-03-19"
67001517,867043,"Agent Error","Incorrect address input","2026-03-02"
67001517,831811,"On-HOLD","Pending Clarification from the Underwriter","2026-03-13"
67001451,910639,"Cancelled","Client Request / No longer needed","2026-03-16"
67001451,831604,"Cancelled","Client Request / No longer needed","2026-03-13"
67001451,979952,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001451,946316,"Missed SLA","Underwriter Delay","2026-03-13"
67001451,921627,"On-HOLD","Pending Clarification from the Underwriter","2026-03-19"
67001451,856776,"Agent Error","Incorrect address input","2026-03-16"
67001451,811655,"Agent Error","Incorrect address input","2026-03-27"
67001451,833324,"On-HOLD","Pending Clarification from the Underwriter","2026-03-02"
67001215,828308,"Cancelled","Client Request / No longer needed","2026-03-26"
67001215,885642,"Agent Error","Incorrect benefit code input","2026-03-16"
67001215,925875,"Cancelled","Client Request / No longer needed","2026-03-10"
67001215,923816,"Missed SLA","Agent delay","2026-03-26"
67001215,853387,"Cancelled","Client Request / No longer needed","2026-03-03"
67001215,993925,"Cancelled","Client Request / No longer needed","2026-03-05"
67001215,829436,"Cancelled","Client Request / No longer needed","2026-03-09"
67001215,882036,"Cancelled","Client Request / No longer needed","2026-03-30"
67001215,956037,"Cancelled","Client Request / No longer needed","2026-03-05"
67001215,913266,"Missed SLA","Agent delay","2026-03-05"
67001882,901937,"Cancelled","Client Request / No longer needed","2026-03-03"
67001882,924390,"Missed SLA","Agent delay","2026-03-06"
67001882,993856,"On-HOLD","Pending Clarification from the Underwriter","2026-03-25"
67001882,994878,"Cancelled","Client Request / No longer needed","2026-03-17"
67001882,948472,"Cancelled","Client Request / No longer needed","2026-03-30"
67001882,985965,"Agent Error","Incorrect address input","2026-03-31"
67001882,984960,"Cancelled","Client Request / No longer needed","2026-03-31"
67001882,860377,"Missed SLA","Underwriter Delay","2026-03-13"
67001882,977804,"Missed SLA","Underwriter Delay","2026-03-02"
67001882,919836,"Cancelled","Client Request / No longer needed","2026-03-19"
67001882,904139,"Missed SLA","Agent delay","2026-03-27"
67001882,982464,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001502,976073,"Cancelled","Client Request / No longer needed","2026-03-17"
67001502,976704,"Agent Error","Incorrect benefit code input","2026-03-19"
67001502,817240,"On-HOLD","Pending Clarification from the Underwriter","2026-03-18"
67001502,900213,"Missed SLA","Underwriter Delay","2026-03-18"
67001502,959066,"On-HOLD","Pending Clarification from the Underwriter","2026-03-11"
67001502,820791,"On-HOLD","Pending Clarification from the Underwriter","2026-03-19"
67001502,922529,"Agent Error","Incorrect address input","2026-03-11"
67001502,883999,"Cancelled","Client Request / No longer needed","2026-03-06"
67001502,942952,"On-HOLD","Pending Clarification from the Underwriter","2026-03-09"
67001502,845919,"Missed SLA","Underwriter Delay","2026-03-26"
67001502,874686,"Agent Error","Incorrect address input","2026-03-02"
67001502,877282,"Missed SLA","Underwriter Delay","2026-03-26"
67001502,936843,"Cancelled","Client Request / No longer needed","2026-03-26"
67001502,874487,"Agent Error","Incorrect address input","2026-03-18"
67001240,964582,"Cancelled","Client Request / No longer needed","2026-03-12"
67001240,920675,"Cancelled","Client Request / No longer needed","2026-03-06"
67001240,970354,"Missed SLA","Underwriter Delay","2026-03-11"
67001240,830889,"Cancelled","Client Request / No longer needed","2026-03-02"
67001240,882708,"Cancelled","Client Request / No longer needed","2026-03-02"
67001240,853839,"Missed SLA","Agent delay","2026-03-12"
67001240,831280,"Cancelled","Client Request / No longer needed","2026-03-26"
67001240,910787,"Agent Error","Incorrect benefit code input","2026-03-24"
67001240,826837,"Agent Error","Incorrect benefit code input","2026-03-19"
67001240,838798,"Cancelled","Client Request / No longer needed","2026-03-12"
67001240,885178,"Missed SLA","Agent delay","2026-03-16"
67001240,865270,"Cancelled","Client Request / No longer needed","2026-03-06"
67001177,972026,"On-HOLD","Pending Clarification from the Underwriter","2026-03-31"
67001177,949173,"On-HOLD","Pending Clarification from the Underwriter","2026-03-27"
